,train,valid,test
accuracy,0.9711258828417116,0.937984496124031,0.9553831231813773
precision,0.925845932325414,0.8600682593856656,0.8794326241134752
recall,0.972768532526475,0.9163636363636364,0.9538461538461539
f1_score,0.9487274068609369,0.8873239436619719,0.915129151291513
