,train,valid,test
accuracy,0.9486913169921064,0.9515503875968992,0.9544131910766246
precision,0.8814762242725337,0.8813559322033898,0.8763250883392226
recall,0.9394856278366112,0.9454545454545454,0.9538461538461539
f1_score,0.909556938850238,0.9122807017543859,0.9134438305709024
