,train,valid,test
accuracy,0.9038221852928957,0.9031007751937985,0.9194956353055286
precision,0.8494711147274207,0.8378378378378378,0.8470588235294118
recall,0.789712556732224,0.7890909090909091,0.8307692307692308
f1_score,0.8185025480203842,0.8127340823970038,0.8388349514563107
